word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,149.0,2,"[4, 1971]",,meco_para_7
"tadimi,_0",546.0,7,"[314, 772, 1967, 2024, 2224, 2228, 2230]",,meco_para_7
sarabin_0,509.0,6,"[24, 704, 1160, 1982, 2235, 2268]",,meco_para_7
 duyumsal_0,154.0,2,"[31, 2035]",,meco_para_7
olarak_0,470.0,5,"[996, 1029, 1208, 1500, 2216]",,meco_para_7
incelenmesi_0,1199.0,9,"[16, 30, 35, 669, 716, 901, 1360, 2059, 2217]",,meco_para_7
ve_0,203.0,2,"[1241, 1755]",,meco_para_7
degerlendirilmesidir._0,792.0,9,"[69, 70, 72, 84, 93, 94, 1242, 1441, 2136]",,meco_para_7
Sarap_1,396.0,4,"[95, 257, 1753, 1765]",,meco_para_7
tadim_0,403.0,5,"[96, 128, 1145, 1229, 1766]",,meco_para_7
pratigi_0,458.0,5,"[5, 6, 1957, 1965, 2202]",,meco_para_7
sarap_2,819.0,9,"[645, 1050, 1052, 1223, 1225, 2023, 2232, 2236, 2237]",,meco_para_7
Uretimi_0,637.0,8,"[701, 703, 1159, 1199, 1972, 2033, 2053, 2265]",,meco_para_7
kadar_0,393.0,4,"[705, 771, 1041, 1200]",,meco_para_7
"antikken,_0",818.0,9,"[666, 816, 817, 1093, 1110, 1358, 1359, 2205, 2261]",,meco_para_7
daha_0,1027.0,11,"[12, 14, 137, 815, 858, 859, 942, 1239, 1285, 1749, 2182]",,meco_para_7
bicimsel_0,1922.0,22,"[13, 28, 29, 86, 119, 143, 171, 179, 187, 298, 707, 814, 940, 941, 1210, 1240, 1286, 1361, 1363, 1750, 2186, 2215]",,meco_para_7
bir_0,1084.0,6,"[102, 895, 1289, 1827, 2019, 2078]",,meco_para_7
metodoloji_0,1107.0,13,"[99, 103, 155, 157, 809, 894, 971, 1438, 1613, 1691, 1768, 2018, 2181]",,meco_para_7
orta_0,769.0,7,"[183, 744, 926, 1547, 1685, 1731, 2138]",,meco_para_7
 caglarin_0,543.0,7,"[55, 115, 181, 240, 291, 1146, 1752]",,meco_para_7
sonlarindan_0,997.0,10,"[7, 1034, 1139, 1958, 1968, 1975, 1979, 1981, 2201, 2247]",,meco_para_7
 glnUmUuze_0,921.0,11,"[107, 315, 702, 729, 985, 1053, 1071, 2022, 2054, 2227, 2266]",,meco_para_7
yavasca__0,961.0,11,"[9, 700, 1098, 1158, 1181, 1201, 1973, 2036, 2057, 2063, 2260]",,meco_para_7
olusmaktadir._0,2484.0,27,"[10, 11, 32, 136, 299, 423, 685, 706, 820, 830, 900, 905, 906, 1055, 1056, 1097, 1163, 1183, 1284, 1354, 1356, 1357, 1481, 1495, 2060, 2064, 2252]",,meco_para_7
"Modern,_0",3327.0,31,"[15, 34, 85, 112, 144, 821, 823, 828, 849, 860, 861, 896, 902, 907, 908, 915, 997, 1147, 1238, 1249, 1287, 1364, 1395, 1396, 1404, 1501, 1817, 1818, 1826, 2115, 2254]",,meco_para_7
profesyonel_0,4069.0,33,"[67, 68, 83, 87, 91, 92, 154, 156, 172, 221, 237, 419, 697, 745, 784, 805, 813, 893, 934, 936, 964, 970, 1371, 1502, 1535, 1622, 1692, 1695, 1763, 1784, 1788, 2135, 2137]",,meco_para_7
sarap_3,1666.0,18,"[82, 153, 215, 216, 217, 783, 786, 965, 1407, 1437, 1621, 1690, 1698, 1730, 1760, 1761, 1762, 1764]",,meco_para_7
—_0,635.0,6,"[98, 216, 239, 332, 1443, 1730]",,meco_para_7
tadimcilari_0,1536.0,15,"[97, 98, 104, 165, 235, 239, 241, 259, 260, 332, 370, 743, 776, 1442, 1686]",,meco_para_7
sarabin_1,191.0,3,"[1035, 1051, 1964]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,667.0,7,"[665, 1012, 1013, 1112, 1956, 1959, 2021]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,1430.0,15,"[23, 130, 1198, 1222, 1243, 1244, 1365, 1386, 1456, 1457, 1983, 2058, 2065, 2211, 2226]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",2176.0,23,"[43, 58, 134, 135, 177, 373, 653, 699, 1028, 1092, 1103, 1180, 1182, 1184, 1185, 1196, 1221, 1385, 1778, 2037, 2148, 2251, 2259]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,2503.0,26,"[3, 33, 89, 145, 149, 323, 660, 789, 818, 819, 826, 829, 857, 899, 1031, 1096, 1162, 1202, 1250, 1355, 1394, 1790, 1939, 1999, 2203, 2240]",meco_para_7_qa_1 ,meco_para_7
ve_1,2255.0,21,"[120, 148, 652, 698, 715, 811, 837, 850, 897, 903, 904, 914, 1248, 1351, 1612, 1678, 1736, 2185, 2187, 2253, 2255]",meco_para_7_qa_1 ,meco_para_7
 genel__0,2670.0,26,"[36, 73, 173, 238, 324, 812, 822, 845, 855, 878, 888, 1176, 1192, 1214, 1237, 1288, 1402, 1405, 1504, 1534, 1669, 1679, 1791, 1825, 2020, 2114]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,6506.0,52,"[51, 78, 80, 81, 126, 158, 162, 169, 218, 220, 418, 708, 785, 807, 847, 887, 892, 937, 958, 963, 972, 980, 1081, 1170, 1348, 1367, 1368, 1372, 1373, 1406, 1444, 1503, 1511, 1512, 1536, 1545, 1546, 1604, 1614, 1638, 1639, 1683, 1697, 1721, 1732, 1733, 1792, 1823, 1854, 1855, 1856, 2043]",meco_para_7_qa_1 ,meco_para_7
tarif_0,2024.0,19,"[52, 161, 163, 164, 168, 244, 261, 337, 371, 781, 1270, 1313, 1514, 1548, 1603, 1689, 1734, 1846, 2132]",meco_para_7_qa_1 ,meco_para_7
etmek_0,1554.0,14,"[66, 258, 290, 292, 329, 331, 485, 722, 1271, 1726, 1727, 1751, 1859, 1861]",meco_para_7_qa_1 ,meco_para_7
icin_0,686.0,8,"[65, 105, 629, 1065, 1072, 1330, 1687, 2140]",meco_para_7_qa_1 ,meco_para_7
kullanilan_0,712.0,9,"[8, 1036, 1049, 1955, 1961, 1963, 1969, 2231, 2246]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,569.0,7,"[654, 730, 1048, 1230, 1387, 2210, 2212]",meco_para_7_qa_1 ,meco_para_7
olarak_1,1004.0,11,"[131, 192, 316, 659, 728, 1106, 1179, 1197, 1741, 1974, 2225]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,384.0,5,"[1102, 1109, 1161, 1203, 1557]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,3486.0,32,"[90, 150, 285, 398, 639, 751, 824, 825, 831, 1095, 1155, 1247, 1251, 1352, 1353, 1455, 1458, 1494, 1496, 1522, 1523, 1565, 1598, 1780, 1782, 1906, 1930, 2042, 2204, 2213, 2239, 2250]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,6905.0,56,"[18, 38, 75, 121, 146, 151, 152, 325, 474, 640, 658, 684, 797, 798, 800, 810, 838, 842, 846, 854, 862, 879, 889, 890, 909, 910, 913, 933, 935, 993, 1073, 1150, 1175, 1191, 1213, 1215, 1283, 1305, 1362, 1401, 1482, 1483, 1505, 1556, 1783, 1789, 1816, 1819, 1824, 1831, 1840, 1863, 1874, 1940, 2219, 2241]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,4802.0,43,"[47, 74, 79, 108, 190, 231, 286, 328, 333, 349, 365, 417, 738, 799, 801, 802, 806, 808, 891, 938, 1169, 1293, 1320, 1321, 1347, 1436, 1460, 1469, 1470, 1510, 1537, 1539, 1544, 1688, 1696, 1821, 1841, 1847, 1848, 2003, 2007, 2077, 2111]",meco_para_7_qa_1 ,meco_para_7
Son_0,3837.0,24,"[160, 219, 280, 287, 445, 453, 477, 540, 691, 755, 782, 803, 954, 969, 1138, 1167, 1471, 1517, 1615, 1684, 1845, 1849, 2005, 2006]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,2835.0,27,"[166, 167, 234, 255, 288, 289, 330, 338, 451, 456, 486, 494, 541, 780, 966, 1319, 1447, 1472, 1479, 1519, 1608, 1699, 1720, 1794, 1806, 1857, 1860]",meco_para_7_qa_1 ,meco_para_7
hem_0,1114.0,13,"[106, 262, 293, 389, 987, 1025, 1064, 1066, 1329, 1728, 1800, 1801, 2159]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,237.0,4,"[59, 376, 1178, 1970]",meco_para_7_qa_0 ,meco_para_7
hem_1,726.0,8,"[732, 1086, 1526, 1748, 1919, 2061, 2222, 2263]",meco_para_7_qa_0 ,meco_para_7
de__0,415.0,5,"[788, 1165, 1877, 1894, 2264]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,1961.0,21,"[41, 62, 88, 132, 253, 436, 617, 727, 1101, 1104, 1105, 1107, 1232, 1366, 1497, 1558, 1785, 1938, 2116, 2257, 2258]",meco_para_7_qa_0 ,meco_para_7
sarap_4,1036.0,13,"[205, 226, 252, 403, 638, 957, 1156, 1246, 1263, 1393, 1916, 2150, 2238]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,3362.0,37,"[2, 147, 284, 300, 357, 385, 657, 667, 748, 790, 866, 869, 870, 872, 898, 1126, 1134, 1151, 1190, 1212, 1219, 1349, 1484, 1485, 1506, 1521, 1623, 1673, 1676, 1677, 1781, 1905, 1941, 2010, 2029, 2130, 2151]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,9445.0,88,"[19, 37, 77, 125, 175, 191, 222, 283, 326, 327, 342, 344, 345, 356, 386, 387, 388, 420, 467, 473, 615, 619, 656, 668, 714, 717, 725, 739, 746, 835, 843, 844, 851, 853, 856, 865, 912, 953, 1087, 1091, 1140, 1143, 1149, 1168, 1193, 1211, 1217, 1218, 1236, 1266, 1304, 1369, 1370, 1403, 1421, 1425, 1428, 1434, 1509, 1538, 1540, 1543, 1595, 1597, 1625, 1626, 1631, 1633, 1642, 1645, 1658, 1665, 1680, 1681, 1701, 1716, 1852, 1884, 1904, 1908, 1942, 1943, 1984, 2000, 2008, 2031, 2112, 2147]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,6684.0,58,"[194, 199, 281, 282, 339, 382, 391, 443, 444, 450, 490, 539, 542, 690, 692, 709, 710, 754, 839, 884, 885, 886, 962, 981, 992, 1070, 1084, 1166, 1171, 1177, 1314, 1322, 1328, 1398, 1399, 1411, 1426, 1427, 1435, 1459, 1468, 1513, 1518, 1573, 1637, 1640, 1717, 1770, 1830, 1843, 1851, 1880, 1922, 1932, 1989, 1990, 2002, 2004]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,4500.0,39,"[49, 279, 336, 368, 402, 416, 455, 475, 476, 493, 503, 504, 506, 721, 723, 752, 883, 955, 967, 968, 1068, 1080, 1317, 1318, 1448, 1450, 1452, 1515, 1516, 1553, 1575, 1605, 1607, 1616, 1700, 1773, 1862, 1914, 2172]",,meco_para_7
 ortaya_0,1574.0,16,"[266, 369, 415, 430, 458, 507, 620, 1334, 1477, 1554, 1609, 1796, 1836, 1858, 2158, 2160]",,meco_para_7
ciktl._0,233.0,2,"[1960, 2165]",,meco_para_7
"Ornegin,_0",564.0,5,"[873, 1023, 1113, 1525, 1786]",,meco_para_7
arastirmalar_0,1201.0,16,"[61, 432, 731, 1002, 1011, 1094, 1108, 1164, 1499, 1756, 1893, 1920, 2048, 2120, 2242, 2256]",,meco_para_7
insanlarin_0,1655.0,19,"[46, 57, 63, 113, 224, 225, 301, 304, 549, 616, 733, 750, 867, 877, 1100, 1258, 1708, 1740, 2149]",,meco_para_7
daha_1,2347.0,23,"[206, 303, 343, 358, 377, 378, 437, 868, 952, 1005, 1174, 1189, 1216, 1388, 1533, 1564, 1594, 1903, 1907, 1929, 2032, 2184, 2192]",,meco_para_7
pahali_0,2942.0,31,"[122, 188, 209, 227, 306, 355, 362, 384, 618, 643, 796, 832, 833, 864, 871, 1074, 1233, 1264, 1303, 1420, 1624, 1832, 1888, 1996, 2028, 2145, 2188, 2190, 2193, 2220, 2221]",,meco_para_7
sarabin_2,4536.0,47,"[40, 76, 124, 189, 193, 210, 383, 405, 406, 465, 466, 483, 508, 613, 631, 648, 649, 834, 924, 932, 994, 1060, 1082, 1090, 1195, 1267, 1282, 1307, 1397, 1429, 1492, 1541, 1590, 1591, 1599, 1632, 1715, 1771, 1829, 1853, 1872, 1878, 1992, 2009, 2049, 2113, 2194]",,meco_para_7
daha_2,3859.0,38,"[48, 196, 200, 341, 352, 366, 390, 478, 489, 502, 693, 841, 852, 949, 959, 961, 979, 1083, 1085, 1227, 1292, 1306, 1312, 1376, 1462, 1465, 1488, 1636, 1682, 1722, 1915, 1931, 1991, 1994, 2001, 2011, 2013, 2146]",,meco_para_7
ucuz_0,3533.0,33,"[243, 254, 322, 334, 335, 367, 530, 587, 718, 740, 779, 840, 1069, 1141, 1323, 1325, 1327, 1375, 1451, 1461, 1464, 1473, 1617, 1646, 1723, 1769, 1842, 1850, 1911, 1945, 2014, 2044, 2047]",,meco_para_7
saraba__0,2746.0,25,"[201, 242, 401, 501, 531, 532, 588, 753, 991, 1014, 1226, 1326, 1333, 1449, 1466, 1467, 1572, 1602, 1694, 1724, 1772, 1807, 1844, 1879, 1926]",,meco_para_7
gore_0,1149.0,12,"[233, 431, 495, 514, 533, 741, 1043, 1453, 1454, 1476, 1478, 1601]",,meco_para_7
daha_3,105.0,2,"[60, 2166]",,meco_para_7
fazla_0,72.0,1,[1757],,meco_para_7
 arzulanan__0,356.0,5,"[374, 1207, 1745, 1787, 2039]",,meco_para_7
karakteristige_0,1829.0,23,"[64, 302, 312, 397, 547, 749, 875, 876, 1058, 1125, 1173, 1204, 1205, 1206, 1228, 1261, 1707, 1710, 1891, 2081, 2082, 2119, 2206]",,meco_para_7
sahip_0,1895.0,23,"[1, 114, 305, 307, 318, 421, 548, 550, 565, 576, 600, 882, 995, 1008, 1077, 1133, 1172, 1186, 1187, 1255, 1298, 1532, 2195]",,meco_para_7
olmasini_0,4318.0,46,"[211, 275, 363, 364, 404, 438, 442, 452, 563, 564, 567, 568, 580, 791, 944, 988, 1059, 1234, 1235, 1265, 1419, 1422, 1423, 1424, 1430, 1493, 1592, 1653, 1654, 1667, 1668, 1675, 1702, 1833, 1837, 1838, 1839, 1867, 1868, 2094, 2121, 2129, 2144, 2189, 2272, 2275]",,meco_para_7
beklediklerini_0,8742.0,70,"[20, 123, 195, 212, 214, 230, 340, 407, 425, 480, 481, 482, 487, 488, 492, 543, 574, 582, 584, 603, 633, 637, 641, 688, 777, 919, 920, 921, 922, 923, 925, 978, 1004, 1088, 1089, 1194, 1269, 1340, 1410, 1491, 1508, 1520, 1542, 1589, 1600, 1618, 1627, 1628, 1629, 1630, 1635, 1652, 1693, 1714, 1718, 1820, 1835, 1883, 1928, 1986, 1987, 1988, 1993, 1995, 2012, 2122, 2134, 2152, 2154, 2183]",,meco_para_7
gostermistir:_0,5594.0,55,"[202, 229, 246, 276, 426, 526, 529, 534, 535, 536, 537, 538, 585, 586, 634, 719, 778, 917, 918, 950, 984, 989, 990, 1015, 1079, 1142, 1154, 1275, 1276, 1278, 1324, 1374, 1381, 1382, 1413, 1474, 1550, 1552, 1570, 1574, 1643, 1644, 1647, 1735, 1808, 1889, 1912, 1913, 1923, 1925, 1927, 1985, 2045, 2171, 2180]",,meco_para_7
|_0,1231.0,9,"[202, 277, 515, 951, 1332, 1475, 1550, 1551, 1890]",,meco_para_7
Tadimcilar_0,1387.0,14,"[109, 277, 515, 621, 951, 1475, 1480, 1551, 1610, 1803, 1805, 1886, 1890, 1936]",,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,350.0,5,"[460, 1578, 1876, 2038, 2062]",,meco_para_7
gercek_0,569.0,7,"[111, 296, 433, 1524, 1944, 2086, 2199]",,meco_para_7
olmayan’_0,1204.0,14,"[251, 545, 546, 655, 1257, 1260, 1262, 1417, 1704, 1917, 2097, 2102, 2125, 2207]",,meco_para_7
bir_1,880.0,12,"[422, 424, 734, 1256, 1259, 1302, 1706, 1742, 1776, 1918, 2109, 2223]",,meco_para_7
 sekilde_0,2408.0,24,"[45, 207, 208, 223, 308, 309, 566, 569, 601, 642, 646, 881, 1076, 1132, 1339, 1418, 1433, 1487, 1593, 1703, 1899, 2095, 2191, 2209]",,meco_para_7
 pahali_0,2390.0,23,"[320, 353, 354, 491, 555, 562, 581, 636, 661, 792, 793, 1075, 1188, 1308, 1507, 1619, 1634, 1711, 1713, 1834, 1900, 2214, 2274]",,meco_para_7
oldugu_0,2752.0,25,"[245, 380, 381, 448, 479, 553, 554, 575, 632, 1268, 1311, 1377, 1380, 1651, 1655, 1656, 1712, 1875, 1897, 1901, 2107, 2153, 2168, 2273, 2281]",,meco_para_7
"soylendiginde,_0",4379.0,40,"[213, 228, 427, 464, 471, 552, 573, 593, 635, 694, 931, 947, 973, 975, 983, 1016, 1042, 1277, 1316, 1342, 1346, 1408, 1409, 1463, 1489, 1528, 1529, 1530, 1569, 1737, 1882, 1910, 1924, 2015, 2017, 2046, 2101, 2169, 2279, 2282]",,meco_para_7
neredeyse_0,1664.0,18,"[499, 500, 647, 650, 696, 711, 720, 742, 982, 1279, 1576, 1577, 1611, 1804, 1935, 2050, 2156, 2179]",,meco_para_7
her_0,68.0,1,[1812],,meco_para_7
zaman_0,204.0,3,"[1122, 1758, 1954]",,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,61.0,1,[1746],,meco_para_7
onlara__0,463.0,5,"[311, 434, 1559, 2073, 2103]",,meco_para_7
ucuz_1,805.0,8,"[468, 1392, 1743, 1828, 1950, 2092, 2096, 2098]",,meco_para_7
oldugu_sdylendiginden_0,5143.0,59,"[0, 21, 44, 273, 319, 321, 359, 361, 379, 408, 469, 523, 551, 556, 560, 561, 570, 572, 579, 663, 735, 927, 928, 929, 1006, 1038, 1078, 1299, 1300, 1310, 1379, 1431, 1432, 1562, 1585, 1659, 1660, 1777, 1865, 1866, 1871, 1896, 1898, 1937, 1949, 2041, 2093, 2118, 2124, 2163, 2164, 2170, 2173, 2196, 2197, 2198, 2208, 2271, 2276]",,meco_para_7
daha__0,1675.0,16,"[447, 470, 578, 583, 662, 974, 977, 1037, 1062, 1345, 1909, 1948, 2143, 2161, 2277, 2284]",,meco_para_7
lezzetli_0,1207.0,13,"[110, 472, 558, 590, 591, 592, 686, 687, 946, 1527, 1531, 2280, 2283]",,meco_para_7
oldugunu_0,798.0,10,"[428, 544, 589, 594, 595, 683, 695, 1811, 2016, 2155]",,meco_para_7
belirttiler._0,229.0,2,"[454, 497]",,meco_para_7
Baska_0,173.0,2,"[1000, 1136]",,meco_para_7
calismalar_0,604.0,6,"[1001, 1759, 1775, 1921, 1953, 2072]",,meco_para_7
gosteriyor_0,773.0,8,"[1022, 1415, 1416, 1560, 2069, 2074, 2117, 2126]",,meco_para_7
ki_0,358.0,4,"[435, 1301, 1705, 2083]",,meco_para_7
tadimcilarin”_0,2040.0,21,"[272, 274, 360, 607, 880, 1018, 1019, 1039, 1148, 1152, 1252, 1296, 1338, 1389, 1391, 1568, 1588, 1895, 1902, 1951, 2099]",,meco_para_7
kararlari_0,1123.0,10,"[22, 411, 522, 571, 1063, 1131, 1153, 1309, 2123, 2176]",,meco_para_7
cografi_0,1055.0,11,"[520, 557, 605, 736, 794, 1017, 1344, 1378, 1662, 2174, 2175]",,meco_para_7
"kéken,_0",757.0,9,"[521, 672, 945, 948, 976, 1343, 1649, 1650, 1947]",,meco_para_7
itibar_0,211.0,3,"[248, 462, 463]",,meco_para_7
veya_0,398.0,5,"[441, 498, 682, 1061, 1810]",,meco_para_7
diger_0,327.0,3,"[509, 596, 677]",,meco_para_7
etkenlerin_0,399.0,3,"[998, 1116, 1118]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,396.0,5,"[270, 1124, 2068, 2070, 2071]",meco_para_7_qa_2 ,meco_para_7
etki_0,758.0,7,"[54, 1021, 1335, 2080, 2091, 2127, 2128]",meco_para_7_qa_2 ,meco_para_7
=_0,168.0,2,"[1295, 2105]",meco_para_7_qa_2 ,meco_para_7
altinda___0,413.0,6,"[271, 1040, 1295, 1337, 2076, 2105]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,588.0,8,"[1020, 1047, 1561, 1586, 1587, 1663, 2108, 2131]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,1226.0,12,"[409, 412, 519, 524, 598, 606, 612, 759, 766, 916, 1952, 2106]",meco_para_7_qa_2 ,meco_para_7
sarap_6,425.0,4,"[525, 559, 608, 760]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,416.0,5,"[348, 528, 597, 673, 756]",meco_para_7_qa_2 ,meco_para_7
bu_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
yuzen_0,110.0,1,[1231],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,292.0,3,"[678, 680, 1815]",meco_para_7_qa_2 ,meco_para_7
kor_0,65.0,1,[1117],meco_para_7_qa_2 ,meco_para_7
tadimini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,212.0,3,"[53, 1566, 2104]",meco_para_7_qa_2 ,meco_para_7
bu_1,119.0,2,"[1336, 2090]",meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,408.0,5,"[1040, 1390, 1582, 1664, 2085]",meco_para_7_qa_2 ,meco_para_7
sarabin_4,796.0,7,"[413, 527, 602, 610, 764, 766, 767]",meco_para_7_qa_2 ,meco_para_7
etiketini_0,1934.0,9,"[249, 518, 757, 758, 762, 765, 768, 1009, 2084]",meco_para_7_qa_2 ,meco_para_7
veya_1,214.0,3,"[651, 671, 1057]",meco_para_7_qa_2 ,meco_para_7
 sisenin_0,79.0,1,[1648],meco_para_7_qa_2 ,meco_para_7
—_2,136.0,2,"[446, 2177]",meco_para_7_qa_2 ,meco_para_7
seklini_0,267.0,4,"[446, 674, 1809, 2177]",meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,95.0,1,[1129],meco_para_7_qa_3 ,meco_para_7
Kor_1,74.0,1,[269],meco_para_7_qa_3 ,meco_para_7
tadim_1,226.0,3,"[516, 1747, 2087]",meco_para_7_qa_3 ,meco_para_7
 ayrica_0,77.0,1,[1584],meco_para_7_qa_3 ,meco_para_7
sarabin§_0,130.0,2,"[1579, 1581]",meco_para_7_qa_3 ,meco_para_7
siyah_0,137.0,2,"[414, 609]",meco_para_7_qa_3 ,meco_para_7
sarap_7,249.0,3,"[761, 763, 769]",meco_para_7_qa_3 ,meco_para_7
 bardaginda__0,572.0,5,"[347, 611, 1010, 1280, 2178]",meco_para_7_qa_3 ,meco_para_7
sarabin_5,61.0,1,[1045],meco_para_7_qa_3 ,meco_para_7
__rengini_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
maskeleyecek_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
sekilde_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
servis_0,70.0,1,[599],meco_para_7_qa_3 ,meco_para_7
edilmesini_0,139.0,2,"[1253, 1583]",meco_para_7_qa_3 ,meco_para_7
de_0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
___0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
icerir._0,67.0,1,[770],meco_para_7_qa_3 ,meco_para_7
Harvard_0,nan,0,[],,a_HarvardUniversity_1
Business_0,nan,0,[],,a_HarvardUniversity_1
School_0,nan,0,[],,a_HarvardUniversity_1
ve_0,70.0,1,[26],,a_HarvardUniversity_1
Harvard_1,nan,0,[],,a_HarvardUniversity_1
Stadyumu_0,nan,0,[],,a_HarvardUniversity_1
da_0,nan,0,[],,a_HarvardUniversity_1
dahil_0,nan,0,[],,a_HarvardUniversity_1
olmak_0,nan,0,[],,a_HarvardUniversity_1
Uzere_0,nan,0,[],,a_HarvardUniversity_1
Universitenin_0,nan,0,[],,a_HarvardUniversity_1
atletizm_0,nan,0,[],,a_HarvardUniversity_1
 tesislerinin_0,nan,0,[],,a_HarvardUniversity_1
"¢ogu,_0",nan,0,[],,a_HarvardUniversity_1
Allston'daki_0,179.0,2,"[2, 3]",a_HarvardUniversity_1_qa_0 ,a_HarvardUniversity_1
Cambridge_0,nan,0,[],,a_HarvardUniversity_1
kampistnun_0,nan,0,[],,a_HarvardUniversity_1
karsisindaki_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
358_0,86.0,1,[24],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
d6dnumluk_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
(145_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
hektar)_0,74.0,1,[22],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
kamplste_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
yer_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
almaktadir._0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
John_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
W._0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Weeks_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
"KO6prust,_0",nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
her_0,62.0,1,[12],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
iki_0,198.0,1,[15],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
kampust_0,54.0,1,[1],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
birbirine_0,66.0,1,[21],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
baglayan_0,69.0,1,[18],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Charles_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Nehri_0,nan,0,[],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
Uzerindeki_0,235.0,1,[31],a_HarvardUniversity_1_qa_1 ,a_HarvardUniversity_1
yaya_0,nan,0,[],,a_HarvardUniversity_1
k6dprustdir._0,77.0,1,[4],,a_HarvardUniversity_1
Harvard_2,81.0,1,[16],,a_HarvardUniversity_1
Tip_0,nan,0,[],,a_HarvardUniversity_1
"Okulu,_0",181.0,4,"[0, 14, 36, 37]",,a_HarvardUniversity_1
Harvard_3,297.0,2,"[27, 43]",,a_HarvardUniversity_1
Dis_0,157.0,2,"[33, 41]",,a_HarvardUniversity_1
Hekimligi_0,971.0,8,"[6, 8, 11, 17, 32, 38, 40, 42]",,a_HarvardUniversity_1
Okulu)_0,nan,0,[],,a_HarvardUniversity_1
ve_1,nan,0,[],,a_HarvardUniversity_1
Harvard_4,nan,0,[],,a_HarvardUniversity_1
Halk_0,nan,0,[],,a_HarvardUniversity_1
Sagligi_0,nan,0,[],,a_HarvardUniversity_1
"Okulu,_1",nan,0,[],,a_HarvardUniversity_1
Boston_0,nan,0,[],,a_HarvardUniversity_1
sehir_0,nan,0,[],,a_HarvardUniversity_1
merkezinin§_0,nan,0,[],,a_HarvardUniversity_1
yaklasik_0,nan,0,[],,a_HarvardUniversity_1
"3,3._0",123.0,2,"[10, 34]",,a_HarvardUniversity_1
mil_0,nan,0,[],,a_HarvardUniversity_1
(5.3_0,nan,0,[],,a_HarvardUniversity_1
km)_0,nan,0,[],,a_HarvardUniversity_1
guneybatisinda_0,69.0,1,[28],a_HarvardUniversity_1_qa_2 ,a_HarvardUniversity_1
